FID,the_geom,UNIQUENUM,IDNUM,NAME,LONGITUDE,LATITUDE,COUNTRY,REGION,REVBIS,DESCRIPTIO,JUSTIFICAT,DATEINSCRI,SECDATE,DANGER,AREAHA,CRITERIA,CATSHORT,CATFIN,TRANSBOUND
worldheritagesites.531,POINT (15.29306 37.05944),1377,1200,Syracuse and the Rocky Necropolis of Pantalica,15.29306,37.05944,Italy,Europe and North America,,"<p>The site consists of two separate elements, containing outstanding vestiges dating back to Greek and Roman times: The Necropolis of Pantalica contains over 5,000 tombs cut into the rock near open stone quarries, most of them dating from the 13th to 7t","<p><em>Criterion (ii): </em>The sites and monuments which form the Syracuse/Pantalica ensemble constitute a unique accumulation, through the ages and in the same space, of remarkable testimonies to Mediterranean cultures.</p>
<p><em>Criterion (iii): </em",2005,,,898.46,(ii)(iii)(iv)(vi),C,C,0
worldheritagesites.532,POINT (8.931111111 44.41222222),1388,1211,Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,8.931111111,44.41222222,Italy,Europe and North America,,<p>The Strade Nuove and the system of the Palazzi dei Rolli in Genoa&rsquo;s historic centre date from the late 16th and early 17th centuries when the Republic of Genoa was at the height of its financial and seafaring power. The site represents the first,,2006,,,15.777,(ii)(iv),C,C,0
worldheritagesites.533,POINT (12.16305556 46.61305556),1609,1237,The Dolomites,12.16305556,46.61305556,Italy,Europe and North America,Rev,"<p>The site of the Dolomites comprises a mountain range in the northern Italian Alps, numbering 18 peaks which rise to above 3,000 metres and cover 141,903 ha. It features some of the most beautiful mountain landscapes anywhere, with vertical walls, shee",,2009,,,141902.8,(vii)(viii),N,N,0
worldheritagesites.534,POINT (10.79444444 45.15944444),1518,1287,Mantua and Sabbioneta,10.79444444,45.15944444,Italy,Europe and North America,,"<p>Mantua and Sabbioneta, in the Po valley, in the north of Italy, represent two aspects of Renaissance town planning: Mantua shows the renewal and extension of an existing city, while 30 km away, Sabbioneta represents the implementation of the period&rs",,2008,,,235,(ii)(iii),C,C,0
worldheritagesites.535,POINT (13.43305556 46.09416667),1780,1318,Longobards in Italy. Places of the Power (568-774 A.D.),13.43305556,46.09416667,Italy,Europe and North America,,"<p>The Longobards in Italy, Places of Power, 568 - 774 A.D.&nbsp;comprises seven groups of important buildings (including fortresses, churches, and monasteries) throughout the Italian Peninsula. They testify to the high achievement of the Lombards, who m",,2011,,,14.08,(ii)(iii)(vi),C,C,0
worldheritagesites.536,POINT (7.963611111 44.60861111),1971,1390,Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,7.963611111,44.60861111,Italy,Europe and North America,Rev,"<p>This landscape covers five distinct wine-growing areas with outstanding landscapes and the Castle of Cavour, an emblematic name both in the development of vineyards and in Italian history. It is located in the southern part of Piedmont, between the Po",,2014,,,10789,(iii)(v),C,C,0
worldheritagesites.537,POINT (14.99666667 37.75611111),1910,1427,Mount Etna,14.99666667,37.75611111,Italy,Europe and North America,,"<p>Mount Etna&nbsp;is an iconic site encompassing 19,237 uninhabited hectares on the highest part of Mount Etna, on the eastern coast of Sicily. Mount Etna is the highest Mediterranean island mountain and the most active stratovolcano in the world. The e",,2013,,,19237,(viii),N,N,0
worldheritagesites.538,POINT (13.35305556 38.11083333),2048,1487,Arab-Norman Palermo and the Cathedral Churches of Cefal? and Monreale,13.35305556,38.11083333,Italy,Europe and North America,,"<p><span>Located on the northern coast of Sicily, Arab-Norman Palermo includes a series of nine civil and religious structures dating from the era of the Norman kingdom of Sicily (1130-1194): two palaces, three churches, a cathedral, a bridge, as well as",,2015,,,6.235,(ii)(iv),C,C,0
worldheritagesites.539,POINT (8.913888889 45.88888889),1643,1090,Monte San Giorgio,8.913888889,45.88888889,"Italy,Switzerland",Europe and North America,Bis,"<p>The pyramid-shaped, wooded mountain of Monte San Giorgio beside Lake Lugano is regarded as the best fossil record of marine life from the Triassic Period (245?230 million years ago). The sequence records life in a tropical lagoon environment, sheltere",,2003,2010,,1089.34,(viii),N,N,1
worldheritagesites.540,POINT (9.846388889 46.49833333),1503,1276,Rhaetian Railway in the Albula / Bernina Landscapes,9.846388889,46.49833333,"Italy,Switzerland",Europe and North America,,"<p>Rhaetian Railway in the Albula / Bernina Landscapes, brings together two historic railway lines that cross the Swiss Alps through two passes. Opened in 1904, the Albula line in the north western part of the property is 67 km long. It features an impre",,2008,,,152.42,(ii)(iv),C,C,1
worldheritagesites.541,POINT (-76.57111111 18.0775),2015,1356,Blue and John Crow Mountains,-76.57111111,18.0775,Jamaica,Latin America and the Caribbean,,"<p><span>The site encompasses a rugged and extensively forested mountainous region in the south-east of Jamaica, which provided refuge first for the indigenous Tainos fleeing slavery and then for Maroons (former enslaved peoples). They resisted the Europ",,2015,,,26251.6,(iii)(vi)(x),C/N,C/N,0
worldheritagesites.542,POINT (135.7333333 34.61666667),781,660,Buddhist Monuments in the Horyu-ji Area,135.7333333,34.61666667,Japan,Asia and the Pacific,,"<p>There are around 48 Buddhist monuments in the Horyu-ji area, in Nara Prefecture. Several date from the late 7th or early 8th century, making them some of the oldest surviving wooden buildings in the world. These masterpieces of wooden architecture are",,1993,,,15.03,(i)(ii)(iv)(vi),C,C,0
worldheritagesites.543,POINT (134.7 34.83333333),782,661,Himeji-jo,134.7,34.83333333,Japan,Asia and the Pacific,,"<p>Himeji-jo is the finest surviving example of early 17th-century Japanese castle architecture, comprising 83 buildings with highly developed systems of defence and ingenious protection devices dating from the beginning of the Shogun period. It is a mas",,1993,,,107,(i)(iv),C,C,0
worldheritagesites.544,POINT (130.5333333 30.33333333),783,662,Yakushima,130.5333333,30.33333333,Japan,Asia and the Pacific,,"<p>Located in the interior of Yaku Island, at the meeting-point of the palaearctic and oriental biotic regions, Yakushima exhibits a rich flora, with some 1,900 species and subspecies, including ancient specimens of the sugi (Japanese cedar). It also con",,1993,,,10747,(vii)(ix),N,N,0
worldheritagesites.545,POINT (140.13 40.47),784,663,Shirakami-Sanchi,140.13,40.47,Japan,Asia and the Pacific,,"<p>Situated in the mountains of northern Honshu, this trackless site includes the last virgin remains of the cool-temperate forest of Siebold's beech trees that once covered the hills and mountain slopes of northern Japan. The black bear, the serow and 8",,1993,,,16971,(ix),N,N,0
worldheritagesites.546,POINT (135.7694444 34.98055556),814,688,"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",135.7694444,34.98055556,Japan,Asia and the Pacific,,"<p>Built in A.D. 794 on the model of the capitals of ancient China, Kyoto was the imperial capital of Japan from its foundation until the middle of the 19th century. As the centre of Japanese culture for more than 1,000 years, Kyoto illustrates the devel",,1994,,,1056,(ii)(iv),C,C,0
worldheritagesites.547,POINT (136.8833333 36.4),868,734,Historic Villages of Shirakawa-go and Gokayama,136.8833333,36.4,Japan,Asia and the Pacific,,"<p>Located in a mountainous region that was cut off from the rest of the world for a long period of time, these villages with their Gassho-style houses subsisted on the cultivation of mulberry trees and the rearing of silkworms. The large houses with the",,1995,,,68,(iv)(v),C,C,0
worldheritagesites.548,POINT (132.45 34.38333333),917,775,Hiroshima Peace Memorial (Genbaku Dome),132.45,34.38333333,Japan,Asia and the Pacific,,"<p>The Hiroshima Peace Memorial (Genbaku Dome) was the only structure left standing in the area where the first atomic bomb exploded on 6 August 1945. Through the efforts of many people, including those of the city of Hiroshima, it has been preserved in","<p>The Committee decided to inscribe the Hiroshima Peace Memorial (Genbaku Dome) on the World Heritage List, exceptionally on the basis of cultural criterion (vi).</p>",1996,,,0.4,(vi),C,C,0
worldheritagesites.549,POINT (132.3246389 34.29441667),918,776,Itsukushima Shinto Shrine,132.3246389,34.29441667,Japan,Asia and the Pacific,,"<p>The island of Itsukushima, in the Seto inland sea, has been a holy place of Shintoism since the earliest times. The first shrine buildings here were probably erected in the 6th century. The present shrine dates from the 12th century and the harmonious","<p>The Committee decided to inscribe the nominated property on the basis of cultural criteria (i), (ii), (iv) and (vi) as the supreme example of this form of religious centre, setting traditional architecture of great artistic and technical merit against",1996,,,431.2,(i)(ii)(iv)(vi),C,C,0
worldheritagesites.550,POINT (135.8394444 34.67555556),1021,870,Historic Monuments of Ancient Nara,135.8394444,34.67555556,Japan,Asia and the Pacific,,"<p>Nara was the capital of Japan from 710 to 784. During this period the framework of national government was consolidated and Nara enjoyed great prosperity, emerging as the fountainhead of Japanese culture. The city's historic monuments &ndash; Buddhist",<p>Criterion (ii): The historic monuments of ancient Nara bear exceptional witness to the evolution of Japanese architecture and art as a result of cultural links with China and Korea which were to have a profound influence on future developments. Criter,1998,,,617,(ii)(iii)(iv)(vi),C,C,0
worldheritagesites.551,POINT (139.6105556 36.7475),1066,913,Shrines and Temples of Nikko,139.6105556,36.7475,Japan,Asia and the Pacific,,"<p>The shrines and temples of Nikko, together with their natural surroundings, have for centuries been a sacred site known for its architectural and decorative masterpieces. They are closely associated with the history of the Tokugawa Shoguns.</p>","<p>Criterion (i): The Nikko shrines and temples are a reflection of architectural and artistic genius; this aspect is reinforced by the harmonious integration of the buildings in a forest and a natural site laid out by people.</p>
<p>Criterion (iv): Nikk",1999,,,50.8,(i)(iv)(vi),C,C,0
worldheritagesites.552,POINT (127.6827778 26.20861111),1136,972,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,127.6827778,26.20861111,Japan,Asia and the Pacific,,"<p>Five hundred years of Ryukyuan history (12th-17th century) are represented by this group of sites and monuments. The ruins of the castles, on imposing elevated sites, are evidence for the social structure over much of that period, while the sacred sit","<p><span class=""CmCaReT"" style=""display: none;"">?</span>Criterion ii For several centuries the Ryukyu islands served as a centre of economic and cultural interchange between south-east Asia, China, Korea, and Japan, and this is vividly demonstrated by th",2000,,,54.9,(ii)(iii)(vi),C,C,0
worldheritagesites.553,POINT (135.7763889 33.83694444),1323,1142,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,135.7763889,33.83694444,Japan,Asia and the Pacific,,"<p>Set in the dense forests of the Kii Mountains overlooking the Pacific Ocean, three sacred sites &ndash; Yoshino and Omine, Kumano Sanzan, Koyasan &ndash; linked by pilgrimage routes to the ancient capital cities of Nara and Kyoto, reflect the fusion o","<p><em>Criterion (ii):</em> The monuments and sites that form the cultural landscape of the Kii Mountains are a unique fusion between Shintoism and Buddhism that illustrates the interchange and development of religious cultures in East Asia.</p>
<p><em>C",2004,,,495.3,(ii)(iii)(iv)(vi),C,C,0
worldheritagesites.554,POINT (144.96583 43.94944),1370,1193,Shiretoko,144.96583,43.94944,Japan,Asia and the Pacific,,"<p>Shiretoko Peninsula is located in the north-east of Hokkaido, the northernmost island of Japan. The site includes the land from the central part of the peninsula to its tip (Shiretoko Cape) and the surrounding marine area. It provides an outstanding e","<p><em>Criterion (ix): </em>Shiretoko provides an outstanding example of the interaction of marine and terrestrial ecosystems as well as extraordinary ecosystem productivity, largely influenced by the formation of seasonal sea ice at the lowest latitude",2005,,,71100,(ix)(x),N,N,0
worldheritagesites.555,POINT (132.435 35.11277778),1737,1246,Iwami Ginzan Silver Mine and its Cultural Landscape,132.435,35.11277778,Japan,Asia and the Pacific,Bis,"<p>The Iwami Ginzan Silver Mine in the south-west of Honshu Island is a cluster of mountains, rising to 600 m and interspersed by deep river valleys featuring the archaeological remains of large-scale mines, smelting and refining sites and mining settlem",,2007,,,529.17,(ii)(iii)(v),C,C,0
worldheritagesites.556,POINT (141.1077778 39.00111111),1771,1277,"Hiraizumi ? Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",141.1077778,39.00111111,Japan,Asia and the Pacific,rev,"<p>Hiraizumi - Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land&nbsp;comprises five sites, including the sacred Mount Kinkeisan. It features vestiges of government offices dating from the 11th and 12th centuries when Hiraizum",,2011,,,176.2,(ii)(vi),C,C,0
worldheritagesites.557,POINT (142.0997222 27.71833333),1770,1362,Ogasawara Islands,142.0997222,27.71833333,Japan,Asia and the Pacific,,"<p>The property numbers more than 30 islands clustered in three groups and covers surface area of 7,939 hectares. The islands offer a variety of landscapes and are home to a wealth of fauna, including the Bonin Flying Fox, a critically endangered bat, an",,2011,,,7939,(ix),N,N,0
worldheritagesites.558,POINT (138.7275 35.36083333),1883,1418,"Fujisan, sacred place and source of artistic inspiration",138.7275,35.36083333,Japan,Asia and the Pacific,,"<p>The beauty of the solitary, often snow-capped, stratovolcano, known around the world as Mount Fuji, rising above villages and tree-fringed sea and lakes has long been the object of pilgrimages and inspired artists and poets. The inscribed property con",,2013,,,20702.1,(iii)(vi),C,C,0
worldheritagesites.559,POINT (138.8877778 36.25527778),1992,1449,Tomioka Silk Mill and Related Sites,138.8877778,36.25527778,Japan,Asia and the Pacific,,"<p>This property is a historic sericulture and silk mill complex established in the late 19th and early 20th century in the Gunma prefecture, north-west of Tokyo. It consists of four sites that correspond to the different stages in the production of raw",,2014,,,7.2,(ii)(iv),C,C,0
worldheritagesites.560,POINT (131.4122222 34.43055556),2045,1484,"Sites of Japan?s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",131.4122222,34.43055556,Japan,Asia and the Pacific,,"<p><span>The site encompasses a series of twenty three component parts, mainly located in the southwest of Japan. It bears testimony to the rapid industrialization of the country from the middle of the 19</span><sup>th</sup><span> century to the early 20",,2015,,,306.66,(ii)(iv),C,C,0
worldheritagesites.561,POINT (35.21666667 31.78333333),165,148,Old City of Jerusalem and its Walls,35.21666667,31.78333333,Jerusalem (Site proposed by Jordan),Arab States,Rev,"<p>As a holy city for Judaism, Christianity and Islam, Jerusalem has always been of great symbolic importance. Among its 220 historic monuments, the Dome of the Rock stands out: built in the 7th century, it is decorated with beautiful geometric and flora",,1981,,1982,0,(ii)(iii)(vi),C,CD,0
worldheritagesites.562,POINT (35.44333 30.33056),370,326,Petra,35.44333,30.33056,Jordan,Arab States,,"<p>Inhabited since prehistoric times, this Nabataean caravan-city, situated between the Red Sea and the Dead Sea, was an important crossroads between Arabia, Egypt and Syria-Phoenicia. Petra is half-built, half-carved into the rock, and is surrounded by",,1985,,,26171,(i)(iii)(iv),C,C,0
worldheritagesites.563,POINT (36.58583 31.80194),372,327,Quseir Amra,36.58583,31.80194,Jordan,Arab States,,"<p>Built in the early 8th century, this exceptionally well-preserved desert castle was both a fortress with a garrison and a residence of the Umayyad caliphs. The most outstanding features of this small pleasure palace are the reception hall and the <em>",,1985,,,0,(i)(iii)(iv),C,C,0
worldheritagesites.564,POINT (35.92056 31.50167),1271,1093,Um er-Rasas (Kastrom Mefa'a),35.92056,31.50167,Jordan,Arab States,,"<p>Most of this archaeological site, which started as a Roman military camp and grew to become a town from the 5th century, has not been excavated. It contains remains from the Roman, Byzantine and Early Muslim periods (end of 3rd to 9th centuries AD) an","<p><em>Criterion (i):</em> Um er-Rasas is a masterpiece of human creative genius given the artistic and technical qualities of the mosaic floor of St Stephen's church.</p>
<p><em>Criterion (iv):</em> Um er-Rasas presents a unique and complete (therefore",2004,,,23.928,(i)(iv)(vi),C,C,0
worldheritagesites.565,POINT (35.43388889 29.63972222),1758,1377,Wadi Rum Protected Area,35.43388889,29.63972222,Jordan,Arab States,,"<p>The 74,000-hectare property, inscribed as a mixed natural and cultural site, is situated in southern Jordan, near the border with Saudi Arabia. It features a varied desert landscape consisting of a range of narrow gorges, natural arches, towering clif",,2011,,,74179.7,(iii)(v)(vii),C/N,C/N,0
worldheritagesites.566,POINT (35.55277778 31.83722222),2019,1446,Baptism Site ?Bethany Beyond the Jordan? (Al-Maghtas),35.55277778,31.83722222,Jordan,Arab States,,"<p><span>Situated on the eastern bank of the River Jordan, nine kilometres north of the Dead Sea, the archaeological site consists of two distinct areas: Tell Al-Kharrar, also known as Jabal Mar-Elias (Elijah?s Hill) and the area of the churches of Saint",,2015,,,294.155,(iii)(vi),C,C,0
worldheritagesites.567,POINT (69.18888889 50.43333333),1543,1102,Saryarka ? Steppe and Lakes of Northern Kazakhstan,69.18888889,50.43333333,Kazakhstan,Asia and the Pacific,Rev,"<p>Saryarka - Steppe and Lakes of Northern Kazakhstan comprises two protected areas: Naurzum State Nature Reserve and Korgalzhyn State Nature Reserve totalling 450,344 ha. It features wetlands of outstanding importance for migratory water birds, includin",,2008,,,450344,(ix)(x),N,N,0
worldheritagesites.568,POINT (68.27444444 43.29305556),1281,1103,Mausoleum of Khoja Ahmed Yasawi,68.27444444,43.29305556,Kazakhstan,Asia and the Pacific,,"<p>The Mausoleum of Khoja Ahmed Yasawi, in the town of Yasi, now Turkestan, was built at the time of Timur (Tamerlane), from 1389 to 1405. In this partly unfinished building, Persian master builders experimented with architectural and structural solution","<p>Criterion i: The Mausoleum of Khoja Ahmed Yasawi is an outstanding achievement in the Timurid architecture, and it has significantly contributed to the development of Islamic religious architecture. Criterion iii: The mausoleum and its site represent",2003,,,0.55,(i)(iii)(iv),C,C,0
worldheritagesites.569,POINT (75.535 43.80333333),1326,1145,Petroglyphs within the Archaeological Landscape of Tamgaly,75.535,43.80333333,Kazakhstan,Asia and the Pacific,,"<p>Set around the lush Tamgaly Gorge, amidst the vast, arid Chu-Ili mountains, is a remarkable concentration of some 5,000 petroglyphs (rock carvings) dating from the second half of the second millennium BC to the beginning of the 20th century. Distribut","<p><em>Criterion (iii):</em> The dense and coherent group of petroglyphs, with sacred images, altars and cult areas, together with their associated settlements and burial sites, provide a substantial testimony to the lives and beliefs of pastoral peoples",2004,,,900,(iii),C,C,0
worldheritagesites.570,POINT (68.67888889 43.71833333),2079,1490,Western Tien-Shan,68.67888889,43.71833333,"Kazakhstan,Kyrgyzstan,Uzbekistan",Asia and the Pacific,,"<span>The transnational site is located in the Tien-Shan mountain system, one of the largest mountain ranges in the world. Western Tien-Shan is situated at an altitude of 700 to 4,503m. It features diverse landscapes, which are home to exceptionally rich",,2016,,,,(x),N,N,1
worldheritagesites.571,POINT (37.31555556 -0.155),1902,800,Mount Kenya National Park/Natural Forest,37.31555556,-0.155,Kenya,Africa,Bis,"<p>At 5,199 m, Mount Kenya is the second highest peak in Africa. It is an ancient extinct volcano, which during its period of activity (3.1-2.6 million years ago) is thought to have risen to 6,500 m. There are 12 remnant glaciers on the mountain, all rec",,1997,2013,,202334,(vii)(ix),N,N,0
worldheritagesites.572,POINT (36.50366667 3.051305556),947,801,Lake Turkana National Parks,36.50366667,3.051305556,Kenya,Africa,Bis,"<p>The most saline of Africa's large lakes, Turkana is an outstanding laboratory for the study of plant and animal communities. The three National Parks serve as a stopover for migrant waterfowl and are major breeding grounds for the Nile crocodile, hipp",<p>The Committee inscribed this property on the basis of natural <em>criteria (viii)</em> and <em>(x)</em> for the discoveries of mammal fossil remains in the site which led to the scientific reconstruction of the palaeo-environment of the entire Turkana,1997,2001,,161485,(viii)(x),N,N,0
worldheritagesites.573,POINT (40.8525 -2.284444444),1229,1055,Lamu Old Town,40.8525,-2.284444444,Kenya,Africa,,"<p>Lamu Old Town is the oldest and best-preserved Swahili settlement in East Africa, retaining its traditional functions. Built in coral stone and mangrove timber, the town is characterized by the simplicity of structural forms enriched by such features","<p>Criterion ii The architecture and urban structure Lamu graphically demonstrate the cultural influences that have come together there over several hundred years from Europe, Arabia, and India, utilizing traditional Swahili techniques to produce a disti",2001,,,15.6,(ii)(iv)(vi),C,C,0
worldheritagesites.574,POINT (36.24 -0.4425),1749,1060,Kenya Lake System in the Great Rift Valley,36.24,-0.4425,Kenya,Africa,rev,"<p>The Kenya Lake System in the Great Rift Valley , a natural property of outstanding beauty, comprises three inter-linked relatively shallow lakes (Lake Bogoria, Lake Nakuru and Lake Elementaita) in the Rift Valley Province of Kenya and covers a total a",,2011,,,32034,(vii)(ix)(x),N,N,0
worldheritagesites.575,POINT (39.59611111 -3.931944444),1589,1231,Sacred Mijikenda Kaya Forests,39.59611111,-3.931944444,Kenya,Africa,Rev,"<p>The Mijikenda Kaya Forests consist of 11 separate forest sites spread over some 200 km along the coast containing the remains of numerous fortified villages, known as kayas, of the Mijikenda people. The kayas, created as of the 16th century but abando",,2008,,,1538,(iii)(v)(vi),C,C,0
worldheritagesites.576,POINT (39.67944444 -4.062777778),1847,1295,"Fort Jesus, Mombasa",39.67944444,-4.062777778,Kenya,Africa,rev,"<p>The Fort, built by the Portuguese in 1593-1596 to the designs of Giovanni Battista Cairati to protect the port of Mombasa, is one of the most outstanding and well preserved examples of 16th Portuguese military fortification and a landmark in the histo",,2011,,,2.36,(ii)(v),C,C,0
worldheritagesites.577,POINT (-172.8575 -3.649722222),1683,1325,Phoenix Islands Protected Area,-172.8575,-3.649722222,Kiribati,Asia and the Pacific,,"<p>The Phoenix Island Protected Area (PIPA) is a 408,250 sq.km expanse of marine and terrestrial habitats in the Southern Pacific Ocean. The property encompasses the Phoenix Island Group, one of three island groups in Kiribati, and is the largest designa",,2010,,,40825000,(vii)(ix),N,N,0
worldheritagesites.578,POINT (72.78277778 40.53111111),1699,1230,Sulaiman-Too Sacred Mountain,72.78277778,40.53111111,Kyrgyzstan,Asia and the Pacific,Rev,"<p>Sulaiman-Too Sacred Mountain Kyrgyzstan dominates the Fergana Valley and forms the backdrop to the city of Osh, at the crossroads of important routes on the Central Asian Silk Roads. For more than one and a half millennia, Sulaiman was a beacon for tr",,2009,,,112,(iii)(vi),C,C,0
worldheritagesites.579,POINT (102.13333 19.88889),1954,479,Town of Luang Prabang,102.13333,19.88889,Lao People's Democratic Republic,Asia and the Pacific,bis,"<p>Luang Prabang is an outstanding example of the fusion of traditional architecture and Lao urban structures with those built by the European colonial authorities in the 19th and 20th centuries. Its unique, remarkably well-preserved townscape illustrate",,1995,,,820,(ii)(iv)(v),C,C,0
worldheritagesites.580,POINT (105.8222222 14.84833333),560,481,Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,105.8222222,14.84833333,Lao People's Democratic Republic,Asia and the Pacific,,"<p>The Champasak cultural landscape, including the Vat Phou Temple complex, is a remarkably well-preserved planned landscape more than 1,000 years old. It was shaped to express the Hindu vision of the relationship between nature and humanity, using an ax","<p>Criterion iii The Temple Complex of Vat Phou bears exceptional testimony to the cultures of south-east Asia, and in particular to the Khmer Empire which dominated the region in the 10th&ndash;14th centuries. Criterion iv The Vat Phou complex is an out",2001,,,39000,(iii)(iv)(vi),C,C,0
worldheritagesites.581,POINT (24.11667 56.95417),1003,852,Historic Centre of Riga,24.11667,56.95417,Latvia,Europe and North America,,"<p>Riga was a major centre of the Hanseatic League, deriving its prosperity in the 13th?15th centuries from the trade with central and eastern Europe. The urban fabric of its medieval centre reflects this prosperity, though most of the earliest buildings","<p>The Committee decided to inscribe this property on the basis of <em>criteria (i) and (ii)</em>, considering that the historic centre of Riga, while retaining its medieval and later urban fabric relatively intact, is of outstanding universal value by v",1997,,,438.3,(i)(ii),C,C,0
worldheritagesites.582,POINT (35.92972 33.72583),329,293,Anjar,35.92972,33.72583,Lebanon,Arab States,,"<p>The city of Anjar was founded by Caliph Walid I at the beginning of the 8th century. The ruins reveal a very regular layout, reminiscent of the palace-cities of ancient times, and are a unique testimony to city planning under the Umayyads.</p>",,1984,,,0,(iii)(iv),C,C,0
worldheritagesites.583,POINT (36.20494 34.00707),330,294,Baalbek,36.20494,34.00707,Lebanon,Arab States,,"<p>This Phoenician city, where a triad of deities was worshipped, was known as Heliopolis during the Hellenistic period. It retained its religious function during Roman times, when the sanctuary of the Heliopolitan Jupiter attracted thousands of pilgrims",,1984,,,0,(i)(iv),C,C,0
worldheritagesites.584,POINT (35.6475 34.11917),331,295,Byblos,35.6475,34.11917,Lebanon,Arab States,,"<p>The ruins of many successive civilizations are found at Byblos, one of the oldest Phoenician cities. Inhabited since Neolithic times, it has been closely linked to the legends and history of the Mediterranean region for thousands of years. Byblos is a",,1984,,,0,(iii)(iv)(vi),C,C,0
worldheritagesites.585,POINT (35.19444 33.27194),335,299,Tyre,35.19444,33.27194,Lebanon,Arab States,,"<p>According to legend, purple dye was invented in Tyre. This great Phoenician city ruled the seas and founded prosperous colonies such as Cadiz and Carthage, but its historical role declined at the end of the Crusades. There are important archaeological",,1984,,,153.8,(iii)(vi),C,C,0
worldheritagesites.586,POINT (36.04889 34.24333),1001,850,Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),36.04889,34.24333,Lebanon,Arab States,,"<p>The Qadisha valley is one of the most important early Christian monastic settlements in the world. Its monasteries, many of which are of a great age, stand in dramatic positions in a rugged landscape. Nearby are the remains of the great forest of ceda",<p>Criterion iii: The Qadisha Valley has been the site of monastic communities continuously since the earliest years of Christianity. The trees in the Cedar Forest are survivors of a sacred forest and of one of the most highly prized building materials o,1998,,,0,(iii)(iv),C,C,0
worldheritagesites.587,POINT (29.12305556 -29.76527778),1885,985,Maloti-Drakensberg Park,29.12305556,-29.76527778,"Lesotho,South Africa",Africa,Bis,"<p>The Maloti-Drakensberg Park is a transboundary site composed of the uKhahlamba Drakensberg National Park in South Africa and the Sehlathebe National Park in Lesotho. The site has exceptional natural beauty in its soaring basaltic buttresses, incisive",,2000,2013,,249313,(i)(iii)(vii)(x),C/N,C/N,1
worldheritagesites.588,POINT (14.29306 32.63833),203,183,Archaeological Site of Leptis Magna,14.29306,32.63833,Libya,Arab States,,"<p>Leptis Magna was enlarged and embellished by Septimius Severus, who was born there and later became emperor. It was one of the most beautiful cities of the Roman Empire, with its imposing public monuments, harbour, market-place, storehouses, shops and",,1982,,2016,0,(i)(ii)(iii),C,CD,0
worldheritagesites.589,POINT (12.485 32.80528),204,184,Archaeological Site of Sabratha,12.485,32.80528,Libya,Arab States,,"<p>A Phoenician trading-post that served as an outlet for the products of the African hinterland, Sabratha was part of the short-lived Numidian Kingdom of Massinissa before being Romanized and rebuilt in the 2nd and 3rd centuries A.D.</p>",,1982,,2016,0,(iii),C,CD,0
worldheritagesites.590,POINT (21.85833 32.825),211,190,Archaeological Site of Cyrene,21.85833,32.825,Libya,Arab States,,"<p>A colony of the Greeks of Thera, Cyrene was one of the principal cities in the Hellenic world. It was Romanized and remained a great capital until the earthquake of 365. A thousand years of history is written into its ruins, which have been famous sin",,1982,,2016,0,(ii)(iii)(vi),C,CD,0
worldheritagesites.591,POINT (10.33333 24.83333),321,287,Rock-Art Sites of Tadrart Acacus,10.33333,24.83333,Libya,Arab States,,"<p>On the borders of Tassili N'Ajjer in Algeria, also a World Heritage site, this rocky massif has thousands of cave paintings in very different styles, dating from 12,000 B.C. to A.D. 100. They reflect marked changes in the fauna and flora, and also the",,1985,,2016,0,(iii),C,CD,0
worldheritagesites.592,POINT (9.5 30.13333333),415,362,Old Town of Ghadam?s,9.5,30.13333333,Libya,Arab States,,"<p>Ghadam?s, known as 'the pearl of the desert', stands in an oasis. It is one of the oldest pre-Saharan cities and an outstanding example of a traditional settlement. Its domestic architecture is characterized by a vertical division of functions: the gr",,1986,,2016,0,(v),C,CD,0
worldheritagesites.593,POINT (25.29306 54.68667),1929,541,Vilnius Historic Centre,25.29306,54.68667,Lithuania,Europe and North America,Bis,"<p>Political centre of the Grand Duchy of Lithuania from the 13th to the end of the 18th century, Vilnius has had a profound influence on the cultural and architectural development of much of eastern Europe. Despite invasions and partial destruction, it",,1994,,,352.09,(ii)(iv),C,C,0
worldheritagesites.594,POINT (24.83055556 54.88777778),1317,1137,Kernav?  Archaeological Site (Cultural Reserve of Kernav?),24.83055556,54.88777778,Lithuania,Europe and North America,,"<p>The Kernav? Archaeological site, about 35 km north-west of Vilnius in eastern Lithuania, represents an exceptional testimony to some 10 millennia of human settlements in this region. Situated in the valley of the River Neris, the site is a complex ens",<p><em>Criterion (iii):</em> The archaeological site of Kernave presents an exceptional testimony to the evolution of human settlements in the Baltic region in Europe over the period of some 10 millennia. The site has exceptional evidence of the contact,2004,,,194.4,(iii)(iv),C,C,0
